,0,1
112,3784.0591,36.002239
113,3782.1304,35.939358
114,3780.2017,36.017761
115,3778.2729,35.943001
116,3776.3442,36.008606
117,3774.4155,35.914516
118,3772.4871,35.957313
119,3770.5583,35.83799
120,3768.6296,35.86063
121,3766.7009,35.727165
122,3764.7722,35.744621
123,3762.8435,35.609905
124,3760.9148,35.62899
125,3758.9863,35.493912
126,3757.0576,35.513153
127,3755.1289,35.378517
128,3753.2002,35.403793
129,3751.2715,35.280292
130,3749.3428,35.324116
131,3747.4143,35.222225
132,3745.4856,35.289829
133,3743.5569,35.208198
134,3741.6282,35.292118
135,3739.6995,35.219318
136,3737.7707,35.307365
137,3735.842,35.233997
138,3733.9136,35.321972
139,3731.9849,35.249115
140,3730.0561,35.340217
141,3728.1274,35.267826
142,3726.1987,35.353596
143,3724.27,35.263195
144,3722.3413,35.318882
145,3720.4128,35.188045
146,3718.4841,35.203419
147,3716.5554,35.040771
148,3714.6267,35.042999
149,3712.698,34.886604
150,3710.7693,34.912247
151,3708.8408,34.78495
152,3706.9121,34.835567
153,3704.9834,34.717552
154,3703.0547,34.758934
155,3701.126,34.613178
156,3699.1973,34.617401
157,3697.2685,34.43343
158,3695.3401,34.409244
159,3693.4114,34.209774
160,3691.4827,34.18338
161,3689.5539,33.986702
162,3687.6252,33.960953
163,3685.6965,33.754661
164,3683.7678,33.710007
165,3681.8393,33.480358
166,3679.9106,33.420578
167,3677.9819,33.193813
168,3676.0532,33.162769
169,3674.1245,32.987469
170,3672.1958,33.022396
171,3670.2673,32.911678
172,3668.3386,32.99646
173,3666.4099,32.908859
174,3664.4812,32.987347
175,3662.5525,32.865806
176,3660.6238,32.892876
177,3658.6951,32.713642
178,3656.7666,32.691383
179,3654.8379,32.48156
180,3652.9092,32.455871
181,3650.9805,32.269691
182,3649.0517,32.29026
183,3647.123,32.160919
184,3645.1943,32.236729
185,3643.2659,32.148128
186,3641.3371,32.244053
187,3639.4084,32.153007
188,3637.4797,32.229595
189,3635.551,32.109302
190,3633.6223,32.155891
191,3631.6938,32.009964
192,3629.7651,32.039005
193,3627.8364,31.882883
194,3625.9077,31.908745
195,3623.979,31.754696
196,3622.0503,31.788752
197,3620.1216,31.649065
198,3618.1931,31.704843
199,3616.2644,31.592354
200,3614.3357,31.678087
201,3612.407,31.592546
202,3610.4783,31.697651
203,3608.5496,31.619877
204,3606.6208,31.721437
205,3604.6924,31.631092
206,3602.7637,31.716308
207,3600.835,31.609959
208,3598.9062,31.682972
209,3596.9775,31.568552
210,3595.0488,31.637382
211,3593.1204,31.521303
212,3591.1916,31.591129
213,3589.2629,31.478784
214,3587.3342,31.555754
215,3585.4055,31.452717
216,3583.4768,31.538723
217,3581.5481,31.44014
218,3579.6196,31.522343
219,3577.6909,31.409435
220,3575.7622,31.468073
221,3573.8335,31.326525
222,3571.9048,31.358078
223,3569.9761,31.197498
224,3568.0474,31.222742
225,3566.1189,31.069431
226,3564.1902,31.112463
227,3562.2615,30.981308
228,3560.3328,31.043863
229,3558.404,30.92425
230,3556.4753,30.988491
231,3554.5469,30.862997
232,3552.6182,30.918795
233,3550.6894,30.788101
234,3548.7607,30.845636
235,3546.832,30.724295
236,3544.9033,30.79586
237,3542.9746,30.6889
238,3541.0461,30.770639
239,3539.1174,30.667467
240,3537.1887,30.746406
241,3535.26,30.636394
242,3533.3313,30.707493
243,3531.4026,30.592382
244,3529.4739,30.663196
245,3527.5454,30.553945
246,3525.6167,30.635363
247,3523.688,30.539074
248,3521.7593,30.631164
249,3519.8306,30.539448
250,3517.9018,30.626577
251,3515.9734,30.520811
252,3514.0447,30.587423
253,3512.116,30.460995
254,3510.1872,30.512552
255,3508.2585,30.38212
256,3506.3298,30.441671
257,3504.4011,30.330011
258,3502.4726,30.413914
259,3500.5439,30.327576
260,3498.6152,30.432411
261,3496.6865,30.360506
262,3494.7578,30.471371
263,3492.8291,30.39818
264,3490.9004,30.500612
265,3488.9719,30.41416
266,3487.0432,30.499365
267,3485.1145,30.394745
268,3483.1858,30.462227
269,3481.2571,30.343536
270,3479.3284,30.401274
271,3477.3999,30.278837
272,3475.4712,30.337313
273,3473.5425,30.21982
